"ID","WEEK OF","EVENT","LOCATION","MIN SHIP NOTICE NAME","CATEGORY","INSP TYPE","START DATE","END DATE","%23 OF IIs PLANNED","%23 OF DAYS","UPDATED","STATUS","SI","RECORDER","NNSY SUPPORT","TI LEAD ACTIVITY","SHIP DATA LIST","CASE FILES"
"1","7/8/2024","CNRSE AUDIT (Tu-Th)","PENSACOLA, FL","CNRSE AUDIT (Tu-Th)","[""BOAT AUDIT""]","Boat Audit","7/8/2024","7/10/2024",,"3","ADDED 6/26/2024.",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"2","7/15/2024","AUGUSTA, LCS 34, FCT (Su/M-F)","SAN DIEGO, CA","AUGUSTA, LCS 34, FCT (Su/M-F)","[""TRIAL""]","FCT","7/13/2024","7/18/2024",,"6",,,"Cummins, Christopher R CAPT USN MESG TWO (USA)","Sprayberry, Luther F CIV USN PRESINSURV VA BCH VA (USA)","Y","[""NSWCPD""]","LCS 34","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS34_AUGUSTA?csf=1&web=1&e=f0QTC9"
"3","7/15/2024","IWO JIMA, LHD 7, PST (POST SHIPYARD TRIAL/REINTEGRATION MI) (Su/M-F)","NORFOLK, VA","IWO JIMA, LHD 7, PST (POST SHIPYARD TRIAL/REINTEGRATION MI) (Su/M-F)","[""SURF""]","PST/REINT","7/13/2024","7/18/2024",,"6","-UPDATE 11 JUN 24: CHANGED TO POST SHIPYARD TRIAL/REINTEGRATION MI.

3/16/22 resched. 9/14/21 placed in TBD status, 6/29/21 homeport change, 9/18/20 Resched. 1/24/20 Resched.  12/13/20 Resched frm JUN to OCT, 9/3/19 resched, changed port","[""RESCH""]","Cummins, Christopher R CAPT USN MESG TWO (USA)","Gilfillan, Thomas P CTR USN (USA)","Y","[""MARMC""]","LHD 7","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LHD%20CASE/LHD7_IWO_JIMA?csf=1&web=1&e=F0jzKG"
"4","7/15/2024","T-AKR, SMART (15-19JUL)","NORFOLK, VA","SODERMAN T-AKR 317, SMART (15-19JUL)","[""MSC""]","SMART","7/14/2024","7/18/2024",,"5","ADDED 6/26/2024.",,"Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,,,"T-AKR 317",
"5","7/14/2024","SSGN (MI) (Tu-F)","KINGS BAY, GA","Florida SSGN 728 (MI) (Tu-F)","[""SUB""]","MI","7/14/2024","7/17/2024",,"4","ADDED 7/24/24.",,"Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""SERMC""]","SSGN 728","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSGN/SSGN%20728?csf=1&web=1&e=QY78C9"
"6","7/15/2024","MSRON 10 X 5, MI (Tu-Th)","LITTLE CREEK, VA","MSRON 10 X 5, MI (Tu-Th)","[""B&C""]","B&C MI","7/15/2024","7/17/2024",,"3","<p>Added 6/15/23.<br></p>",,"Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"7","7/15/2024","SSN, MI (Tu-F)","GROTON, CT","NEWPORT NEWS SSN 750, MI (Tu-F)","[""SUB""]","MI","7/15/2024","7/18/2024",,"4","<p>​-UPDATE 12/5/23&#58; Rescheduled to week of 15 JUL 24.<br></p><p>Added 6/23/23.<br></p>","[""RESCH""]","Lancaster, Kristopher A CAPT USN PRESINSURV VA BCH VA (USA)",,,"[""RSG GROTON""]","SSN 750","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/SUB%20CASE/SSN/SSN%20750%20(MI)?csf=1&web=1&e=JuU515"
"8","7/22/2024","YT 810/811/812, MI (M-F)","SILVERDALE, WA","YT 810/811/812, MI (M-F)","[""B&C""]","B&C MI","7/21/2024","7/25/2024",,"5","-UPDATE 7/3/24: RESCHEDULED TO WEEK OF 22 JUL 24.

<p>​ADDED 2/14/24.<br></p>","[""RESCH""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"9","7/22/2024","TBD - LCS, MI (Tu-F)","SAN DIEGO, CA","OMAHA LCS 12, MI (Tu-F)","[""SURF""]","MI","7/22/2024","7/25/2024",,"4","<p>​-UPDATE 4/3/24&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGOING RESCHEDULING EFFORTS.<br></p><p>Added 12 DEC 23.<br></p>","[""TBD""]",,,"Y","[""SWRMC""]","LCS 12","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS12_OMAHA?csf=1&web=1&e=PmedFO"
"10","7/22/2024","TBD - LCS, MI (Tu-F)","SAN DIEGO, CA","SAVANNAH LCS 28, MI (Tu-F)","[""SURF""]","MI","7/22/2024","7/25/2024",,"4","<p>-UPDATE 4/3/2024&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGOING RESCHEDULING EFFORTS.<br></p><p>​Added 12/12/23.<br></p>","[""TBD""]",,,,"[""SWRMC""]","LCS 28","/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/LCS%20CASE/LCS28_SAVANNAH?csf=1&web=1&e=1q4MNU"
"11","7/22/2024","TBD - YRBM 58, AT (Tu-Th)","MORGAN CITY, LA","YRBM 58, AT (Tu-Th)","[""TRIAL""]","AT","7/22/2024","7/24/2024",,"3","<p>-UPDATE 3/26/24&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGOING RESCHEDULING EFFORTS.<br></p><p>-​UPDATE 1/31/24&#58; RESCHEDULED TO WEEK OF 22 JUL 24.<br></p><p>UPDATE 1/16/24&#58; DELETED FROM INSURV SCHEDULE, PLACED IN TBD STATUS DUE TO UNDERGIONG RESCHEDULING EFFORTS.<br></p>","[""TBD""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,,"[""NSWCPD""]",,
"12","7/22/2024","YC 1598, MI (W)","NORFOLK, VA","YC 1598, MI (W)","[""B&C""]","B&C MI","7/23/2024","7/23/2024",,"1","-UPDATE 7/3/24: RESCHEDULED TO WEEK OF 22 JUL 24 (WEDNESDAY ONLY).

-UPDATE 6/26/2024: DELETED FROM INSURV SCHEDULE.

<p>​-UPDATE 2/7/24&#58; RESCHEDULED TO WEEK OF 15 JUL 24.<br></p>","[""RESCH""]","Bruce-Ross, Christopher W CIV USN PRESINSURV VA BCH VA (USA)",,,,,
"13","7/22/2024","T-AKE, SMART (26-30 JUL)","CHINHAE, SK","LEWIS AND CLARK T-AKE 1, SMART (26-30 JUL)","[""MSC""]","SMART","7/25/2024","7/29/2024",,"5","<p>-UPDATE 5/7/24&#58; LOCATION CHANGED TO CHINHAE, SK.<br></p><p>-UPDATE 3/13/24&#58; RESCHEDULED TO WEEK OF 22 JUL 24, LOCATION CHANGED TO TBD C7F.<br></p><p>​Added 8/3/23<br></p>","[""RESCH""]","Klauer, Michael John CAPT USN SE RMC MAYPORT FL (USA)",,,,"T-AKE 1",
